GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Period,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date
22AUMPK2686A1ZU,I K AIRCON,IK/05/124,Regular,15/05/2025,49413,Chhattisgarh,No,41875,0,3768.75,3768.75,0,May'25,11/06/2025,Yes,,100%,,,
05AOMPJ1066P2ZJ,THE MADDOX COMPANY,TMC/25-26/130167,Regular,08/05/2025,26494,Chhattisgarh,No,22452.53,4041.46,0,0,0,May'25,07/06/2025,Yes,,100%,,,
22AAJFH4719C2ZR,HOTEL VENKATESH INTERNATIONAL,4689PSHDR0000020,Regular,05/04/2025,2925,Chhattisgarh,No,2785.9,0,69.65,69.65,0,Apr'25,20/05/2025,Yes,,100%,,,
22AAJFH4719C2ZR,HOTEL VENKATESH INTERNATIONAL,4689PSHDR0000034,Regular,07/04/2025,2251,Chhattisgarh,No,2143.7,0,53.59,53.59,0,Apr'25,20/05/2025,Yes,,100%,,,
22AAJFH4719C2ZR,HOTEL VENKATESH INTERNATIONAL,4689PSHDR0000177,Regular,28/04/2025,2250,Chhattisgarh,No,2143,0,53.58,53.58,0,Apr'25,20/05/2025,Yes,,100%,,,
22AAJFH4719C2ZR,HOTEL VENKATESH INTERNATIONAL,4689PSHDR0000188,Regular,29/04/2025,3825,Chhattisgarh,No,3642.85,0,91.07,91.07,0,Apr'25,20/05/2025,Yes,,100%,,,
22ADBPT5215C1Z4,M/S LAXMI SURGICAL,LS00146,Regular,10/05/2025,23471.34,Chhattisgarh,No,20945.84,0,1262.75,1262.75,0,May'25,11/06/2025,Yes,,100%,,,
22AAIFM5731A1ZU,SUKHSAGAR,MG/MY009/2526,Regular,02/05/2025,4130,Chhattisgarh,No,3933.33,0,98.33,98.33,0,May'25,11/06/2025,Yes,,100%,E-Invoice,8f0785ec70fc8e7289d8e8018fdf576bc84a56af22c7335066a0013dfe408233,07/05/2025
23AAIPW4261F1ZO,M/S. SHIVAM ASSOCIATES,SA/16/25-26,Regular,13/05/2025,1390000,Chhattisgarh,No,1177966.1,212033.9,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CR/2526/MA/02,Regular,01/05/2025,4820,Chhattisgarh,No,4220.96,0,299.53,299.53,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CR/2526/MA/19,Regular,07/05/2025,900,Chhattisgarh,No,762.71,0,68.64,68.64,0,May'25,11/06/2025,Yes,,100%,,,
22ADEPB7546B2Z6,OM STATIONERY STORES,CR/2526/MA/21,Regular,08/05/2025,2900,Chhattisgarh,No,2589.3,0,155.36,155.36,0,May'25,11/06/2025,Yes,,100%,,,
